station,date,year,month,day,precip_mm_day,coverage,quality_flag,variable,mean,min,max
BLBT,2024-08-10,2024,8,10,0,1,OK (>=90%),windSpd_Max,3.1,0.5,6.6
BLBT,2024-08-10,2024,8,10,0,1,OK (>=90%),windDir,193.7,92.7,294.8
BLBT,2024-08-10,2024,8,10,0,1,OK (>=90%),dewPt_Avg,10.4,6.8,13.5
BLBT,2024-08-10,2024,8,10,0,1,OK (>=90%),vPress,1.3,1,1.6
BLBT,2024-08-10,2024,8,10,0,1,OK (>=90%),vPressSat,3.8,2.3,5.5
BLBT,2024-08-10,2024,8,10,0,1,OK (>=90%),bPress_Avg,NA,Inf,-Inf
BLBT,2024-08-10,2024,8,10,0,1,OK (>=90%),airTemp_Min,26.2,18.3,34.2
BLBT,2024-08-10,2024,8,10,0,1,OK (>=90%),airTemp_Max,28.2,20.8,34.8
BLBT,2024-08-11,2024,8,11,0,1,OK (>=90%),day,11,11,11
BLBT,2024-08-11,2024,8,11,0,1,OK (>=90%),airTemp_Avg,27.7,18.7,34.8
BLBT,2024-08-11,2024,8,11,0,1,OK (>=90%),rh,38.3,22.4,61.6
BLBT,2024-08-11,2024,8,11,0,1,OK (>=90%),parDen_Avg,682.2,0,2046.4
BLBT,2024-08-11,2024,8,11,0,1,OK (>=90%),swRadIn_Avg,337.5,-4.9,1010.6
BLBT,2024-08-11,2024,8,11,0,1,OK (>=90%),windSpd_Avg,2.1,1,4.1
BLBT,2024-08-11,2024,8,11,0,1,OK (>=90%),windSpd_Min,1.2,0.6,2.4
BLBT,2024-08-11,2024,8,11,0,1,OK (>=90%),windSpd_Max,3.2,1.2,6.5
